web-scraper-order,web-scraper-start-url,get_more_details,get_more_details-href,pages,name,dates,updated,address,city,state,zip,image-src,fulladdress,attendance,exibitors,promotor,showrating
"1674870875-11","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/59498/Grants-Pass-Oregon/Craft-Shows/Last-Minute-Craft-Sale","https://festivalnet.com/fairs-festivals/Oregon?page=14","Last Minute Craft Sale","December 2023","Updated 10/26/2022","Josephine County Fairgrounds","Grants Pass","OR","97527","/festival-community/image.php?mode=fno_event_image&band_id=309799&fno_event_id=59498&width=480&height=crop&theme=Sage","1451 Fairgrounds Road, Grants Pass, OR 97527","50+
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Josephine County Fairgrounds","null"
"1674870877-12","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/78521/Canyonville-Oregon/Farmers-Markets/Canyonville-Farmers-Market","https://festivalnet.com/fairs-festivals/Oregon?page=14","Canyonville Farmers Market","May - December 2023","Updated 5/11/2022","Seven Feathers South Parking Lot","Canyonville","OR","97417","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FarmersMarket%2Fdefault6.jpg","146 Chief Miwaleta Lane, Canyonville, OR 97417","tba
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","The Canyonville Farmers Market LLC","null"
"1674870879-13","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/94504/Corvallis-Oregon/Holiday-Celebrations/Ashbrook-Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=14","Ashbrook Holiday Bazaar","December 2023","Updated 11/21/2022","Ashbrook Independent School","Corvallis","OR","97333","/festival-community/image.php?mode=fno_event_image&band_id=629140&fno_event_id=94504&width=480&height=crop&theme=Sage","4045 SW Research Way, Corvallis, OR 97333","na
					
# Food Booths: na","50
					
Juried: no
					
Prize Money: na","Ashbrook Independent School","null"
"1674870882-14","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/1680/Portland-Oregon/Craft-Shows/Wild-Arts-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=14","Wild Arts Festival","December 2023","Updated 9/12/2022","Portland State University's Viking Pavilion","Portland","OR","97201","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fart3.jpg","930 SW Hall Street, Portland, OR 97201","4,500
					
# Food Booths: na","75
					
Juried: yes
					
Prize Money: na","Audubon Society of Portland","null"
"1674870884-15","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21734/Salem-Oregon/Craft-Shows/Salem-Holiday-Market","https://festivalnet.com/fairs-festivals/Oregon?page=14","Salem Holiday Market","December 2023","Updated 1/10/2022","LB Day Amphitheatre","Salem","OR","97303","/festival-community/image.php?mode=band_image&band_id=21734&width=480&height=crop&theme=Sage","2330 17th Street Northeast, Salem, OR 97303","santas village,  gingerbread house & tree decorating contests,  kids' area","8,000
					
# Food Booths: 1","Salem Community Markets","null"
"1674870888-16","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/88049/Keizer-Oregon/Parades/Keizer-Holiday-Lights-Parade","https://festivalnet.com/fairs-festivals/Oregon?page=14","Keizer Holiday Lights Parade","December 2023","Updated 9/27/2022","4118 River Road N.","Keizer","OR","97303","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=Parade%2Flights2.jpg","4118 River Road N., Keizer, OR 97303","na
					
Juried: no
					
Prize Money: na","Art & Craft: na
					
Music: na
					
Food: until full","Keizer Chamber of Commerce‑ Oregon","null"
"1674870891-17","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/75215/Cottage-Grove-Oregon/Marketplace-Expos/Christmas-Gift-Boutique","https://festivalnet.com/fairs-festivals/Oregon?page=14","Christmas Gift Boutique","December 2023","Updated 11/29/2022","Shady Oaks Plants & Produce","Cottage Grove","OR","97424","/festival-community/image.php?mode=fno_event_image&band_id=463764&fno_event_id=75215&width=480&height=crop&theme=Sage","77380 Or‑99, Cottage Grove, OR 97424","250
					
# Food Booths: na","25
					
Juried: yes
					
Prize Money: na","Christmas Gift Boutique","null"
"1674870893-18","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/71354/West-Linn-Oregon/Parades/Holiday-Parade","https://festivalnet.com/fairs-festivals/Oregon?page=14","Holiday Parade","December 2023","Updated 11/22/2022","10th Street and Willamette Falls Drive","West Linn","OR","97068","/festival-community/image.php?mode=fno_event_image&band_id=415987&fno_event_id=71354&width=480&height=crop&theme=Sage","2015 Willamette Falls Drive, West Linn, OR 97068","visit with santa after the parade at the willamette fire station","1,000
					
# Food Booths: na","City of West Linn","null"
"1674870895-19","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/89288/Oregon-City-Oregon/Craft-Shows/ACA-Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=14","ACA Holiday Bazaar","December 2023","Updated 7/30/2022","Alliance Charter Academy","Oregon City","OR","97045","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fchristmas%2Choliday+bazaar%2Choliday+extravaganza%2Choliday+craft%2Choliday+gift%2Choliday+boutique%2Choliday+market%2Cmistletoe%2Csanta%2Cholly+days%2Cwinterfest%2Cred+bow.jpg","16075 Front Avenue, Oregon City, OR 97045","500
					
# Food Booths: 6","50
					
Juried: no
					
Prize Money: na","Alliance Charter Academy","null"
"1674870898-20","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21731/Ontario-Oregon/Craft-Shows/Malheur-County-Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=14","Malheur County Holiday Bazaar","December 2023","Updated 11/29/2022","Malheur County Fairgrounds","Ontario","OR","97914","/festival-community/image.php?mode=fno_event_image&band_id=289778&fno_event_id=21731&width=480&height=crop&theme=Sage","795 NW 9th Street, Ontario, OR 97914","1,500
					
# Food Booths: 1","40+
					
Juried: no
					
Prize Money: na","Malheur County Fair Board","null"
"1674870900-21","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/861/Klamath-Falls-Oregon/Craft-Shows/Quota-Christmas-Bazaar-and-Craft-Fair","https://festivalnet.com/fairs-festivals/Oregon?page=14","Quota Christmas Bazaar and Craft Fair","December 2023","Updated 11/30/2022","Klamath County Fairgrounds","Klamath Falls","OR","97603","/festival-community/image.php?mode=fno_event_image&band_id=258033&fno_event_id=861&width=480&height=crop&theme=Sage","3531 S. 6th Street, Klamath Falls, OR 97603","2,500
					
# Food Booths: na","99
					
Juried: no
					
Prize Money: na","Quota International of Klamath Falls","null"
"1674870902-22","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21732/Albany-Oregon/Holiday-Celebrations/Town-and-Country-Christmas-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=14","Town and Country Christmas Bazaar","December 2023","Updated 11/7/2022","Linn County Expo Center","Albany","OR","97322","/festival-community/image.php?mode=fno_event_image&band_id=24002&fno_event_id=21732&width=480&height=crop&theme=Sage","3700 Knox Butte Road E., Albany, OR 97322","250
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Linn County Expo Center","null"
"1674870905-23","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/8511/Roseburg-Oregon/Craft-Shows/Douglas-County-Christmas-Craft-Fair","https://festivalnet.com/fairs-festivals/Oregon?page=14","Douglas County Christmas Craft Fair","December 2023","Updated 9/27/2022","Douglas County Fairgrounds Complex","Roseburg","OR","97471","/festival-community/image.php?mode=fno_event_image&band_id=16327&fno_event_id=8511&width=480&height=crop&theme=Sage","2110 SW Frear Street, Roseburg, OR 97471","12,000
					
# Food Booths: 3","306
					
Juried: yes
					
Prize Money: na","Douglas County Fairgrounds Complex","null"
"1674870907-24","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/71982/Newport-Oregon/Craft-Shows/Holiday-House","https://festivalnet.com/fairs-festivals/Oregon?page=14","Holiday House","December 2023","Updated 11/8/2022","Yaquina Bay Yacht Club","Newport","OR","97365","/festival-community/image.php?mode=fno_event_image&band_id=128740&fno_event_id=71982&width=480&height=crop&theme=Sage","750 SE Bay Boulevard, Newport, OR 97365","32
					
Juried: yes
					
Prize Money: na","Art & Craft: 11/15/2022
					
Music: na
					
Food: na","Holiday House","null"
"1674870909-25","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/70575/Saint-Helens-Oregon/Craft-Shows/Christmas-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=14","Christmas Bazaar","December 2023","Updated 10/6/2022","Saint Frederic Catholic Church","Saint Helens","OR","97051","/festival-community/image.php?mode=fno_event_image&band_id=251922&fno_event_id=70575&width=480&height=crop&theme=Sage","175 S. 13th Street, Saint Helens, OR 97051","25
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Saint Frederics' Parish","null"
"1674870912-26","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/92590/Portland-Oregon/Festivals/Wytche-Daye","https://festivalnet.com/fairs-festivals/Oregon?page=14","Wytche Daye","December 2023","Updated 11/21/2022","Oaks Amusement Park in the Dance Pavilion","Portland","OR","97202","/festival-community/image.php?mode=fno_event_image&band_id=612169&fno_event_id=92590&width=480&height=crop&theme=Sage","7805 SE Oaks Park Way, Portland, OR 97202","na
					
# Food Booths: na","70
					
Juried: no
					
Prize Money: na","Wytche Daye","null"
"1674870914-27","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/75426/Eugene-Oregon/Holiday-Celebrations/Howard-Winter-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=14","Howard Winter Bazaar","December 2023","Updated 11/28/2022","Howard Elementary School","Eugene","OR","97404","/festival-community/image.php?mode=fno_event_image&band_id=440346&fno_event_id=75426&width=480&height=crop&theme=Sage","700 Howard Avenue, Eugene, OR 97404","70
					
Juried: no
					
Prize Money: na","Art & Craft: 11/30/2022
					
Music: na
					
Food: 11/25/2022","Howard Elementary School PTO","null"
"1674870917-28","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/89169/Powell-Butte-Oregon/Craft-Shows/Twenty-Seventh-Powell-Butte-Art-Craft-Show","https://festivalnet.com/fairs-festivals/Oregon?page=14","Twenty‑Seventh Powell Butte Art & Craft Show","December 2023","Updated 11/3/2022","Powell Butte Community Center","Powell Butte","OR","97753","/festival-community/image.php?mode=fno_event_image&band_id=570595&fno_event_id=89169&width=480&height=crop&theme=Sage","8404 SW Reif Road, Powell Butte, OR 97753","250
					
# Food Booths: 1","29
					
Juried: yes
					
Prize Money: na","Powell Butte Art & Craft Show","null"
"1674870919-29","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/50751/Portland-Oregon/Craft-Shows/Lewis-Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=14","Lewis Holiday Bazaar","December 2023","Updated 11/29/2021","Lewis Elementary School","Portland","OR","97206","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fchristmas%2Choliday+bazaar%2Choliday+extravaganza%2Choliday+craft%2Choliday+gift%2Choliday+boutique%2Choliday+market%2Cmistletoe%2Csanta%2Cholly+days%2Cwinterfest%2Cred+bow8.jpeg","4401 Southeast Evergreen Street, Portland, OR 97206","50
					
Juried: no
					
Prize Money: na","Art & Craft: 11/18/2022
					
Music: na
					
Food: na","Lewis Elementary","null"
"1674870924-30","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/57877/Portland-Oregon/Craft-Shows/David-Douglas-HS-Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=13","David Douglas HS Holiday Bazaar","December 2023","Updated 10/27/2022","David Douglas High School","Portland","OR","97233","/festival-community/image.php?mode=fno_event_image&band_id=308111&fno_event_id=57877&width=480&height=crop&theme=Sage","1001 SE 135th Avenue, Portland, OR 97233","1,000
					
# Food Booths: 3","50
					
Juried: no
					
Prize Money: na","David Douglas HS PTSA","null"
"1674870926-31","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/860/Corvallis-Oregon/Craft-Shows/OSU-Holiday-Marketplace","https://festivalnet.com/fairs-festivals/Oregon?page=13","OSU Holiday Marketplace","December 2023","Updated 11/5/2021","Memorial Union Ballroon","Corvallis","OR","97330","/festival-community/image.php?mode=fno_event_image&band_id=308987&fno_event_id=860&width=480&height=crop&theme=Sage","26th & Jefferson, Corvallis, OR 97330","children's holiday party","6,000
					
# Food Booths: na","Memorial Union Craft Center","null"
"1674870928-32","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/90291/Harbor-Oregon/Festivals/ChariTree-Holiday-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=13","ChariTree Holiday Festival","December 2, 2023","Updated 6/22/2022","Chetco Grange","Harbor","OR","97415","/festival-community/image.php?mode=band_image&band_id=588610&width=480&height=crop&theme=Sage","U.S. 101 & Zimmerman Lane, Harbor, OR 97415","18
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","ChairTree","null"
"1674870931-33","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/42361/West-Linn-Oregon/Holiday-Celebrations/West-Linn-Holiday-Tree-Lighting-Community-Celebration","https://festivalnet.com/fairs-festivals/Oregon?page=13","West Linn Holiday Tree Lighting & Community Celebration","December 2023","Updated 11/7/2022","West Linn City Hall","West Linn","OR","97068","/festival-community/image.php?mode=fno_event_image&band_id=415987&fno_event_id=42361&width=480&height=crop&theme=Sage","22500 Salamo Road, West Linn, OR 97068","visit and photo with santa","1,000
					
# Food Booths: na","City of West Linn","null"
"1674870933-34","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/79598/Terrebonne-Oregon/Craft-Shows/Three-Sisters-Lions-Club-Holiday-Faire","https://festivalnet.com/fairs-festivals/Oregon?page=13","Three Sisters Lions Club Holiday Faire","November 2023","Updated 11/7/2022","Faith Hope & Charity Vineyards","Terrebonne","OR","97760","/festival-community/image.php?mode=fno_event_image&band_id=489956&fno_event_id=79598&width=480&height=crop&theme=Sage","70450 NW Lower Valley Dr, Terrebonne, OR 97760","20
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Three Sisters Lions Club","null"
"1674870936-35","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/28118/Ashland-Oregon/Art-Shows/Harvest-Show-of-Fine-Woodworking","https://festivalnet.com/fairs-festivals/Oregon?page=13","Harvest Show of Fine Woodworking","November 2023","Updated 11/9/2021","Hay‑Patton Rehearsal Center","Ashland","OR","97520","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FineArtCraft%2Ffall%2Cautumn%2Charvest%2Coktober%2Coctober5.jpg","200 Enders Alley, Ashland, OR 97520","4,000
					
# Food Booths: na","16
					
Juried: yes
					
Prize Money: na","Siskiyou Woodcraft Guild","null"
"1674870938-36","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/26899/Rickreall-Oregon/Craft-Shows/Polk-County-Craft-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=13","Polk County Craft Festival","November 2023","Updated 9/13/2022","Polk County Fairgrounds & Event Center","Rickreall","OR","97371","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fcraft5.jpg","520 S. Pacific Highway W., Rickreall, OR 97371","200
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Polk County Fairgrounds & Event Center","null"
"1674870940-37","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/94457/The-Dalles-Oregon/Parades/Thirty-Third-Starlight-Parade","https://festivalnet.com/fairs-festivals/Oregon?page=13","Thirty‑Third Starlight Parade","November 2023","Updated 11/9/2022","Throughout The Dalles & The Dalles Chamber","The Dalles","OR","97058","/festival-community/image.php?mode=fno_event_image&band_id=82252&fno_event_id=94457&width=480&height=crop&theme=Sage","404 W. 2nd Street, The Dalles, OR 97058","tree lighting w/ free drinks & cookies","unknown
					
# Food Booths: na","The Dalles Area Chamber of Commerce","null"
"1674870943-38","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/89805/Grants-Pass-Oregon/Craft-Shows/Holiday-Gift-Chocolate-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=13","Holiday Gift & Chocolate Festival","November 2023","Updated 10/18/2022","Josephine County Fairgounds, Pavillion Building","Grants Pass","OR","97527","/festival-community/image.php?mode=fno_event_image&band_id=82072&fno_event_id=89805&width=480&height=crop&theme=Sage","1451 Fairgrounds Road, Grants Pass, OR 97527","50
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","David Willhite Promotions","null"
"1674870945-39","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/71353/West-Linn-Oregon/Art-Shows/Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=13","Holiday Bazaar","November 2023","Updated 11/1/2022","West Linn Adult Community Center","West Linn","OR","97068","/festival-community/image.php?mode=band_image&band_id=415987&width=480&height=crop&theme=Sage","1180 Rosemont Road, West Linn, OR 97068","40
					
Juried: yes
					
Prize Money: na","Art & Craft: 11/01/2022
					
Music: na
					
Food: na","City of West Linn","null"
"1674870948-40","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/66399/Milwaukie-Oregon/Holiday-Celebrations/Santas-Treasures-Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=13","Santa's Treasures Holiday Bazaar","November 2023","Updated 11/8/2021","St. John the Baptist Catholic Church","Milwaukie","OR","97222","/festival-community/image.php?mode=fno_event_image&band_id=406008&fno_event_id=66399&width=480&height=crop&theme=Sage","10955 SE 25th Avenue, Milwaukie, OR 97222","1,000
					
# Food Booths: local","40+
					
Juried: no
					
Prize Money: na","Santas' Treasures Holiday Bazaar","null"
"1674870950-41","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/61347/Hillsboro-Oregon/Gem-Jewelry-Bead-Shows/Hillsboro-Gem-Faire","https://festivalnet.com/fairs-festivals/Oregon?page=13","Hillsboro Gem Faire","November 2023","Updated 6/25/2022","Westside Commons","Hillsboro","OR","97124","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=GemJewelryBeadShow%2Frock%2Cgem%2Cmineral2.jpg","801 NE 34th Avenue, Hillsboro, OR 97124","70
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Gem Faire, Inc.","null"
"1674870952-42","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/39430/Redmond-Oregon/Art-Shows/Holiday-Food-Gift-Festival-Redmond","https://festivalnet.com/fairs-festivals/Oregon?page=13","Holiday Food & Gift Festival ‑ Redmond","November 2023","Updated 7/11/2022","Deschutes Fair & Expo","Redmond","OR","97756","/festival-community/image.php?mode=fno_event_image&band_id=96324&fno_event_id=39430&width=480&height=crop&theme=Sage","3800 SW Airport Way, Redmond, OR 97756","8,000
					
# Food Booths: local","150
					
Juried: yes
					
Prize Money: na","Holiday Food & Gift Festival","null"
"1674870955-43","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/26885/Troutdale-Oregon/Craft-Shows/Heart-of-the-Country-Show-and-Sale","https://festivalnet.com/fairs-festivals/Oregon?page=13","Heart of the Country Show and Sale","November 2023","Updated 11/11/2021","Glen Otto Community Park","Troutdale","OR","97060","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fdefault4.jpg","1102 E. Columbia River Highway, Troutdale, OR 97060","40
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","Larch Mountain Country Artisans","null"
"1674870957-44","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/92381/Portland-Oregon/Festivals/Portland-Holiday-Market","https://festivalnet.com/fairs-festivals/Oregon?page=13","Portland Holiday Market","November 2023","Updated 12/15/2021","Portland Expo Center","Portland","OR","97217","/festival-community/image.php?mode=fno_event_image&band_id=13883&fno_event_id=92381&width=480&height=crop&theme=Sage","2060 N. Marine Drive, Portland, OR 97217","na
					
# Food Booths: 20","300
					
Juried: no
					
Prize Money: na","O'Loughlin Trade Shows Oregon","null"
"1674870959-45","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/62640/Eugene-Oregon/Craft-Shows/Westminster-Holiday-Bazaar","https://festivalnet.com/fairs-festivals/Oregon?page=13","Westminster Holiday Bazaar","November 2023","Updated 10/25/2022","Westminster Presbyterian Church Eugene","Eugene","OR","97401","/festival-community/image.php?mode=fno_event_image&band_id=381984&fno_event_id=62640&width=480&height=crop&theme=Sage","777 Coburg Road, Eugene, OR 97401","500
					
# Food Booths: na","18
					
Juried: no
					
Prize Money: na","Westminster Presbyterian Church Eugene","null"
"1674870962-46","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/88936/Newberg-Oregon/Holiday-Celebrations/Newberg-MOPS-Holiday-Bazaar,-Silent-Auction-Bake-Sale","https://festivalnet.com/fairs-festivals/Oregon?page=13","Newberg MOPS Holiday Bazaar, Silent Auction & Bake Sale","November 2023","Updated 10/27/2022","Northwest Christian Church (formerly Newberg Christian Church)","Newberg","OR","97132","/festival-community/image.php?mode=fno_event_image&band_id=567453&fno_event_id=88936&width=480&height=crop&theme=Sage","2315 Villa Road, Newberg, OR 97132","40+
					
Juried: no
					
Prize Money: na","Art & Craft: 11/01/2022
					
Music: na
					
Food: until full","Newberg MOPS","null"
